"Bären,Hauptstrasse 18, Utzenstorf, 3427, 瑞士"
"Restaurant du Quai,Le Quai 10, Hermance, 1248, 瑞士"
"Auberge de la Croix d'Or, Grande-Rue 18, Yens, 1169, 瑞士"
"Magnagallo,via Magnagallo Est 7, Campogalliano, 41011, 義大利"
"Palazzaccio,via Umberto I 23, Castelbuono, 90013, 義大利"
"Il Fiorile,via XXV Aprile 6, frazione Castel Ratti, Borghetto di Borbera, 15060, 義大利"
"Aciniello,via Torino 4, Campobasso, 86100, 義大利"
"Altavilla,via Monti 46, Bianzone, 23030, 義大利"
"Violetta,via Valle San Giovanni 1, Calamandrana, 14042, 義大利"
"Antichi Sapori,piazza Sant'Isidoro 10, Montegrosso, 76123, 義大利"
"Locanda Mariella,località Fragnolo 29, Calestano, 43030, 義大利"
"Osteria Bartolini,piazza Malpighi 16, Bologna, 40123, 義大利"
"Da Alighiero,via Garibaldi 8, Anghiari, 52031, 義大利"
"Osteria Magona,Località Vallone dei Messi 199, SP 16/b km 2,400, Bolgheri, 57020, 義大利"
"Nida,via Nicola Barbantini 338, Lucca, 55100, 義大利"
"Da Pode,località Sovestro 63, San Gimignano, 53037, 義大利"
"Osteria Expanificio,piazza Sinatra 16, Agrigento, 92100, 義大利"
"Fonte alla Vena,via Dante Alighieri 137, San Quirico d'Orcia, 53027, 義大利"
"Ai Burattini,via Madaschi 45, Adrara San Martino, 24060, 義大利"
"Namo Ristobottega,via Giovan Battista Marzi 1, Tarquinia, 01016, 義大利"
"Laghetto,rue Trois Villages 291, Brusson, 11022, 義大利"
"Consorzio,via Monte di Pietà 23, Torino, 10122, 義大利"
"Locanda del Barone,Località San Vittorino, Caramanico Terme, 65023, 義大利"
"Osteria Acqualavica,via Cardinale Dusmet 35, Catania, 95121, 義大利"
"FØRMA contemporary restaurant,via Fortebraccio 53, L'Aquila, 67100, 義大利"
"Il Cedro,via di Camaldoli 20, Moggiona, 52014, 義大利"
"Caffè La Crepa,piazza Matteotti 14, Isola Dovarese, 26031, 義大利"
"Da Sapì,via Giuseppe Mazzini 36, Esine, 25040, 義大利"
"Trattoria Margherita,corso Roma 31, Arborea, 09092, 義大利"
"Futura Osteria,largo Garfonda 10, località Abbadia Isola, Monteriggioni, 53035, 義大利"
"Trattoria Pennestri,via Giovanni Da Empoli 5, Roma, 00154, 義大利"
"Dentella,via Dentella 25, Bracca, 24010, 義大利"
"La Locanda del Falco,piazza Regina Elena 22, Valdieri, 12010, 義大利"
"Borgo Poscolle,via Poscolle 21/a, Cavazzo Carnico, 33020, 義大利"
"Castagneto,via Vignola 14, Montrigiasco, 28041, 義大利"
"Accademia Ristorante,via Mameli 29, Casale Monferrato, 15033, 義大利"
"Osteria San Giulio,Via Dulzago, Badia di Dulzago, 28043, 義大利"
"Trattoria Porteri,via Trento 52/d, Brescia, 25128, 義大利"
"Da Fausto,Località Valle Prati 1, Cavatore, 15010, 義大利"
"Gassenwirt,via Paese 42, Chienes, 39030, 義大利"
"Al Borgo,via Anconetta 8, Belluno, 32100, 義大利"
"La Tradizione, via Imbriani 11/13, Minervino Murge, 76013, 義大利"
"Gabbiano 1983,piazza Vittorio Veneto 10, Corte de' Cortesi, 26020, 義大利"
"Osteria Bartolini,corso Garibaldi 41, Cesenatico, 47042, 義大利"
"La Fratanza,via Garibaldi 37, Nocera Superiore, 84015, 義大利"
"La Gioconda,via Brancuti, Cagli, 61043, 義大利"
"Trattoria Losanna,via San Rocco 40, Masio, 15024, 義大利"
"Locanda Cacciatori,località Mistadello di Castione, Ponte dell'Olio, 29028, 義大利"
"Trattoria Cibrèo, via dei Macci 122 r, Firenze, 50122, 義大利"
"Trattoria Antichi Sapori,via Montanara 318, Gaione, 43124, 義大利"
"Hosteria Grappolo d'Oro,piazza della Cancelleria 80, Roma, 00186, 義大利"
"Casa del Vino della Vallagarina,piazza San Vincenzo 1, Isera, 38060, 義大利"
"Nana Piccolo Bistrò,via Giosuè Carducci 19, Senigallia, 60019, 義大利"
"Angiolina,via Passariello 2, località Marina di Pisciotta, Pisciotta, 84066, 義大利"
"Forma,via Trieste 9, Civitavecchia, 00053, 義大利"
"Il Latini,via dei Palchetti 6 r, Firenze, 50123, 義大利"
"Bruxaboschi,via Francesco Mignone 8, San Desiderio, 16133, 義大利"
"La Barca,litoranea Salentina, Marina di Pulsano, 74026, 義大利"
"L'800,via Centese 33, Argelato, 40050, 義大利"
"Osteria Mondo d'Oro,via Mondo d'Oro 4, Verona, 37121, 義大利"
"Al Convento, piazza San Francesco 16, Cetara, 84010, 義大利"
"L'Acquario,via Vittorio Emanuele 69, Castiglione del Lago, 06061, 義大利"
"Perbacco, via Umberto I 14, Cannara, 06033, 義大利"
"Il Moro,piazza Garibaldi 7, Capriata d'Orba, 15060, 義大利"
"Gerani,via Stabia 609, Sant'Antonio Abate, 80057, 義大利"
"Ca' d'Frara,via del Gambero 4, Ferrara, 44121, 義大利"
"Al Becco della Civetta,vico I Maglietta 7, Castelmezzano, 85010, 義大利"
"Kanton Restaurant,via Antonio Gramsci 17, Capriate San Gervasio, 24042, 義大利"
"Osteria Didù,via Felice Cascione 70, Imperia, 18100, 義大利"
"Rimulas,via Severino Grattoni 8, Voghera, 27058, 義大利"
"CUCINA.eat,piazza Galileo Galilei 1, Cagliari, 09128, 義大利"
"Sot'Ajarchi,via Marconi 93, Ancona, 60125, 義大利"
"Osteria Bartolini,via A. Boito 26, Milano Marittima, 48015, 義大利"
"Coxinendi,via Sant'Antioco 1, Sanluri, 09025, 義大利"
"Da Gregorio,strada provinciale 101 136, Morrano Nuovo, 05018, 義大利"
"Nole,viale Regina Margherita 84, Pescara, 65123, 義大利"
"I Tri Siochètt,strada Farnese 74, Parma, 43125, 義大利"
"Antiche Sere,via Cenischia 9, Torino, 10139, 義大利"
"Podere 39,via Senese 39 r, Firenze, 50125, 義大利"
"Le Nove Scodelle,viale Monza 4, Milano, 20127, 義大利"
"Cibus,via Chianche di Scarano 7, Ceglie Messapica, 72013, 義大利"
"Trattoria da Zamboni,via Santa Croce 73, Lapio, 36057, 義大利"
"La Pignata,viale Dei Tigli 7, Ariano Irpino, 83031, 義大利"
"Me Cumpari Turiddu,piazza Turi Ferro 36, Catania, 95124, 義大利"
"Il Ritrovo d'Abruzzo,Contrada Bosco 16, Civitella Casanova, 65010, 義大利"
"Antica Fattoria del Grottaione,via della Piazza, località Montenero d'Orcia, Castel del Piano, 58033, 義大利"
"Alla Pasina,via Marie 3, Dosson, 31030, 義大利"
"Vögele,via Goethe 3, Bolzano, 39100, 義大利"
"Al Cambio,via Stalingrado 150, Bologna, 40128, 義大利"
"Al Monastero,via Ristori 9, Cividale del Friuli, 33043, 義大利"
"Il Tirabusciò,via Rosa Scoti 12, Bibbiena, 52011, 義大利"
"Trattoria al Parco,via Stretta 7, Buttrio, 33042, 義大利"
"Osteria dai Coghi,via Alcide De Gasperi 9/13, Albarè di Costermano, 37010, 義大利"
"Il Turacciolo,piazza Vittorio Emanuele II 4, Andria, 76123, 義大利"
"Trattoria da Probo,via Provinciale Nord 13, Bagnolo in Piano, 42011, 義大利"
"Agritur El Mas,strada de Saslonch 176, località Col de Soldai, Moena, 38035, 義大利"
"Old Friend,via Giuseppe Cesare Abba 51, Cagliari, 09126, 義大利"
"Maso Palù,via Graziani 56, Brentonico, 38060, 義大利"
"Trattoria di Via Serra,via Luigi Serra 9/b, Bologna, 40129, 義大利"
"Hostaria Viola,via Verdi 32, Castiglione delle Stiviere, 46043, 義大利"
"Antica Filanda,SS 157, contrada Raviola, Capri Leone, 98070, 義大利"
"EFENDY,Nisbetiye Caddesi No:13, Levent/Beşiktaş, Istanbul, 34330, 土耳其"
"Coquus,via Luigi Blanch 19, Lucera, 71036, 義大利"
"Calipso Fish,Küçükyalı Sahil, Cumhuriyet Caddesi No:2, Küçükyalı/Maltepe, Istanbul, 34840, 土耳其"
"Inari Omakase Kuruçeşme,Kuruçeşme Caddesi No:11, Beşiktaş, Istanbul, 34345, 土耳其"
"Camiano Piccolo,via Camiano Piccolo 5, Montefalco, 06036, 義大利"
"Tavacı Recep Usta,Atatürk Caddesi No:364, Alsancak/Konak, Izmir, 35220, 土耳其"
"Hiç Lokanta,Yeni Mahallesi, Zafer Caddesi No:52, Urla, Izmir, 35430, 土耳其"
"LA Mahzen,Kuşçuburun Mahallesi, Başmimar Sinan Caddesi No:81, Yazıbaşı, Torbalı, Izmir, 35860, 土耳其"
"Adil Müftüoğlu,Mithatpaşa Caddesi No:159, Balçova, Izmir, 35330, 土耳其"
"Pandeli,Rüstempaşa Mahallesi, Balık Pazarı Kapısı Sokağı No:1/2, Mısır Çarşısı İçi 1 D:2, Eminönü/Fatih, Istanbul, 34116, 土耳其"
"Karaköy Lokantası,Kemankeş Mahallesi, Kemankeş Caddesi No:57, Karaköy/Beyoğlu, Istanbul, 34425, 土耳其"
"İki Sandal, Kumbahçe Mahallesi, Cumhuriyet Caddesi No:183-1, Bodrum, 48400, 土耳其"
"Ayşa Boşnak Börekçisi,Anafartalar Caddesi Abacıoğlu Hanı No:228 Z15, Kemeraltı/Konak, Izmir, 35250, 土耳其"
"Foxy Nişantaşı,Harbiye, Mim Kemal Öke Caddesi No:1/D, Şişli, Istanbul, 34365, 土耳其"
"Cuma,Firuzağa Mahallesi, Çukur Cuma Caddesi No:53/A, Beyoğlu, Istanbul, 34425, 土耳其"
"Tershane,Arap Cami Mahallesi, Tersane Caddesi No:24, Karaköy/Beyoğlu, Hotel Momento 8th Floor (8. kat), Istanbul, 34420, 土耳其"
"SADE Beş Denizler Mutfağı,Teşvikiye Mahallesi, Akkavak Sokak No:36, Şişli, Istanbul, 34365, 土耳其"
"Alaf,Arnavutköy, Kuruçeşme Caddesi No:19, Beşiktaş, Istanbul, 34345, 土耳其"
"Aida, Caferağa Mahallesi, Ressam Şeref Akdik Sokak No:10, Kadıköy, Istanbul, 34710, 土耳其"
"Tavacı Recep Usta Bostancı,Altintepe, Bağdat Caddesi, No:6, Maltepe, Istanbul, 34840, 土耳其"
"Fauna,Küçükbakkalköy Mahallesi, Işıklar Caddesi, Ahmet Muhip Dranas Sokak No:9/A, Ataşehir, Istanbul, 34750, 土耳其"
"Aheste,Asmalı Mescit Mahallesi, Meşrutiyet Caddesi No:107/F, Beyoğlu, Istanbul, 34430, 土耳其"
"Cane,403 H St. NE, Washington, 20002, 美國"
"Otantik Ocakbaşı,Atatürk Caddesi No:46, Bodrum, 48400, 土耳其"
"Beğendik Abi,Tatar Cami Sokak No:12, Urla, Izmir, 35430, 土耳其"
"La Tejana,3211 Mt. Pleasant St. NW, Washington, 20010, 美國"
"The Red Balloon,Yeniköy, Güzelce Ali Paşa Caddesi Salih Ağa Sokak No:5, Sarıyer, Istanbul, 34464, 土耳其"
"Stellina Pizzeria,399 Morse St. NE, Washington, 20002, 美國"
"Giritli,Yenigüvey Sokak No:9, Cankurtaran/Fatih, Istanbul, 34122, 土耳其"
"Taqueria Habanero,3710 14th St. NW, Washington, 20010, 美國"
"Menya Hosaki,845 Upshur St. NW, Washington, 20011, 美國"
"Queen’s English,3410 11th St. NW, Washington, 20010, 美國"
"Daru,1451 Maryland Ave. NE, Washington, 20002, 美國"
"Dauphine's,1100 15th St. NW, Washington, 20005, 美國"
"Yellow,1524 Wisconsin Ave. NW, Washington, 20007, 美國"
"Ellē,3221 Mt. Pleasant St. NW, Washington, 20010, 美國"
"Astoria DC,1521 17th St. NW, Washington, 20036, 美國"
"Laos in Town,250 K St. NE, Washington, 20002, 美國"
"Toki Underground,1234 H St. NE, Washington, 20002, 美國"
"Sababa,3311 Connecticut Ave. NW, Washington, 20008, 美國"
"Maketto,1351 H St. NE, Washington, 20002, 美國"
"Karma Modern Indian,611 I St. NW, Washington, 20001, 美國"
"Makan,3400 11th St. NW, Washington, 20010, 美國"
"Honeymoon Chicken,4201 Georgia Ave. NW, Washington, 20011, 美國"
"Hitching Post,200 Upshur St. NW, Washington, 20011, 美國"
"Lapis,1847 Columbia Rd. NW, Washington, 20009, 美國"
"Ivy City Smokehouse,1356 Okie St. NE, Washington, 20002, 美國"
"Kaliwa,751 Wharf St. SW, Washington, 20024, 美國"
"Oyamel,401 7th St. NW, Washington, 20004, 美國"
"China Chilcano,418 7th St. NW, Washington, 20004, 美國"
"Unconventional Diner,1207 9th St. NW, Washington, 20001, 美國"
"Zaytinya,701 9th St. NW, Washington, 20001, 美國"
"Sfoglina,4445 Connecticut Ave. NW, Washington, 20008, 美國"
"Pranakhon,88 University Pl., New York, 10003, 美國"
"The Red Hen,1822 1st St. NW, Washington, 20001, 美國"
"Residents Cafe & Bar,1306 18th St. NW, Washington, 20036, 美國"
"Agi's Counter,818 Franklin Ave., Brooklyn, 11225, 美國"
"8282,84 Stanton St., New York, 10002, 美國"
"Mexicosina,503 Jackson Ave., New York, 10455, 美國"
"Flora,1021 8th Ave., Brooklyn, 11215, 美國"
"Chutney Masala,76 Main St., Irvington, 10533, 美國"
"Saint Julivert Fisherie,264 Clinton St., Brooklyn, 11201, 美國"
"Café Mars,272 3rd Ave., Brooklyn, 11215, 美國"
"Haenyeo,239 Fifth Ave., Brooklyn, 11215, 美國"
"Win Son,159 Graham Ave., Brooklyn, 11206, 美國"
"Peppercorn Station,66 W. 39th St., New York, 10018, 美國"
"Enzo’s of Williamsbridge,1998 Williamsbridge Rd., Bronx, 10461, 美國"
"Sobre Masa,52 Harrison Pl., Brooklyn, 11237, 美國"
"Phayul, 37-59 74th St., Queens, 11372, 美國"
"Superiority Burger,119 Avenue A, New York, 10009, 美國"
"KRU,190 N. 14th St., Brooklyn, 11249, 美國"
"Miss Ada,184 DeKalb Ave., Brooklyn, 11205, 美國"
"C as in Charlie,5 Bleecker St., New York, 10012, 美國"
"Soda Club,155 Avenue B, New York, 10009, 美國"
"RaaSa,145 E. Main St., Elmsford, 10523, 美國"
"Mile End,97A Hoyt St., Brooklyn, 11217, 美國"
"Van Đa,234 E. 4th St., New York, 10009, 美國"
"TVB by: Pax Romana,171 E. Post Rd., White Plains, 10601, 美國"
"Runner Up,367 7th Ave., Brooklyn, 11215, 美國"
"Thai Diner,186 Mott St., New York, 10012, 美國"
"Chick Chick,618 Amsterdam Ave., New York, 10024, 美國"
"Szechuan Gourmet,21 W. 39th St., New York, 10018, 美國"
"Ammazzacaffè,702 Grand St., Brooklyn, 11211, 美國"
"Sagara,98 Victory Blvd., Staten Island, 10301, 美國"
"Boro6 Wine Bar, 549 Warburton Ave., Hastings-on-Hudson, 10706, 美國"
"Dhamaka,119 Delancey St., New York, 10002, 美國"
"Southern Table,39 Marble Ave., Pleasantville, 10570, 美國"
"Le Fanfare,1103 Manhattan Ave., Brooklyn, 11222, 美國"
"Kung Fu Little Steamed Buns Ramen,811 Eighth Ave., New York, 10019, 美國"
"Rafele Rye,26 Purchase St., Rye, 10580, 美國"
"Yellow Rose,102 Third Ave., New York, 10003, 美國"
"Gordo's Cantina,140 St. Nicholas Ave., Brooklyn, 11237, 美國"
"SaRanRom Thai,8110 Broadway, Queens, 11373, 美國"
"Russ & Daughters Cafe,127 Orchard St., New York, 10002, 美國"
"Bar Primi,325 Bowery, New York, 10003, 美國"
"Dim Sum Go Go,5 E. Broadway, New York, 10038, 美國"
"Tonchin,13 W. 36th St., New York, 10018, 美國"
"Jiang Nan, 133-42 39th Ave., Queens, 11354, 美國"
"Rolo's,853 Onderdonk Ave., Queens, 11385, 美國"
"21 Greenpoint,21 Greenpoint Ave., Brooklyn, 11222, 美國"
"Glasserie,95 Commercial St., New York, 11222, 美國"
"Cho Dang Gol,55 W. 35th St., New York, 10001, 美國"
"Hupo,1007 50th Ave., Queens, 11101, 美國"
"Hometown Barbecue New York,454 Van Brunt St., Brooklyn, 11231, 美國"
"Enoteca Maria,27 Hyatt St., Staten Island, 10301, 美國"
"Ugly Baby,407 Smith St., Brooklyn, 11231, 美國"
"Atla,372 Lafayette St., New York, 10012, 美國"
"Cotenna,21 Bedford St., New York, 10014, 美國"
"Tomiño Taberna Gallega,192 Grand St., New York, 10013, 美國"
"Llama Inn,50 Withers St., Brooklyn, 11211, 美國"
"Covacha,368 Columbus Ave., New York, 10024, 美國"
"Chuan Tian Xia,5502 Seventh Ave., Brooklyn, 11220, 美國"
"Sami & Susu,190 Orchard St., New York, 10002, 美國"
"Amelie,566 Amsterdam Ave., New York, 10024, 美國"
"Roberta's,261 Moore St., Brooklyn, 11206, 美國"
"Alta Calidad,552 Vanderbilt Ave., Brooklyn, 11238, 美國"
"Tanoreen,7523 Third Ave., Brooklyn, 11209, 美國"
"Norma Gastronomia Siciliana,438 Third Ave., New York, 10016, 美國"
"Alley 41, 136-45 41st Ave., Queens, 11355, 美國"
"Miss Mamie's Spoonbread Too,366 W. 110th St., New York, 10025, 美國"
"Badageoni Georgian Kitchen, 26-28 E. Main St., Mount Kisco, 10549, 美國"
"Sobaya,229 E. 9th St., New York, 10003, 美國"
"Dubrovnik,721 Main St., New Rochelle, 10801, 美國"
"Zaab Zaab, 76-04 Woodside Ave., Queens, 11373, 美國"
"Bohemian Spirit,321 E. 73rd St., New York, 10021, 美國"
"La Cueva Fonda,961 Leggett Ave., New York, 10455, 美國"
"Ruffian,125 E. 7th St., New York, 10009, 美國"
"Cardamom, 43-45 43rd St., Queens, 11104, 美國"
"Momofuku Noodle Bar,171 First Ave., New York, 10003, 美國"
"The Cookery,39 Chestnut St., Dobbs Ferry, 10522, 美國"
"Pinch Chinese,177 Prince St., New York, 10012, 美國"
"West New Malaysia,69 Bayard St., New York, 10013, 美國"
"Little Alley,550 Third Ave., New York, 10016, 美國"
"Tong Sam Gyup Goo Yi, 162-23 Depot Rd., Queens, 11358, 美國"
"Pierozek,592 Manhattan Ave., Brooklyn, 11222, 美國"
"Caleta 111 Cevicheria, 111-27 Jamaica Ave., Queens, 11418, 美國"
"Legend of Taste,2002 Utopia Pkwy., Queens, 11357, 美國"
"Oso,1618 Amsterdam Ave., New York, 10031, 美國"
"Nyonya,199 Grand St., New York, 10013, 美國"
"DOMODOMO, 138-140 W. Houston St., New York, 10012, 美國"
"Tra Di Noi,622 E. 187th St., Bronx, 10458, 美國"
"Speedy Romeo,376 Classon Ave., Brooklyn, 11238, 美國"
"Katz's,205 E. Houston St., New York, 10002, 美國"
"Georgian Cuisine,8309 Third Ave., Brooklyn, 11209, 美國"
"Nami Nori,33 Carmine St., New York, 10014, 美國"
"Chavela’s,736 Franklin Ave., Brooklyn, 11238, 美國"
"Shalom Japan,301 S. 4th St., Brooklyn, 11211, 美國"
"Café Alaia,128 Garth Rd., Scarsdale, 10583, 美國"
"Una Pizza Napoletana,175 Orchard St., New York, 10002, 美國"
"HanGawi,12 E. 32nd St., New York, 10016, 美國"
"MáLà Project,122 First Ave., New York, 10009, 美國"
"Tredici Social,104 Kraft Ave., Bronxville, 10708, 美國"
"Maria Restaurant,11 Huguenot St., New Rochelle, 10801, 美國"
"Burrata,425 White Plains Rd., Eastchester, 10709, 美國"
"Potluck Club,133 Chrystie St., New York, 10002, 美國"
"Yao Yao,230 W. Cermak Rd., Chicago, 60616, 美國"
"Nella Pizza e Pasta,1125 E. 55th St., Chicago, 60615, 美國"
"Proxi,565 W. Randolph St., Chicago, 60661, 美國"
"Chef’s Special Cocktail Bar,2165 N. Western Ave., Chicago, 60647, 美國"
"Girl & The Goat,809 W. Randolph St., Chicago, 60607, 美國"
"Bloom Plant Based Kitchen,1559 N. Milwaukee Ave., Chicago, 60622, 美國"
"Mott St.,1401 N. Ashland Ave., Chicago, 60622, 美國"
"Mama Delia,1721 W. Division St., Chicago, 60622, 美國"
"La Josie,740 W. Randolph St., Chicago, 60661, 美國"
"Ghin Khao,2128 W. Cermak Rd., Chicago, 60608, 美國"
"Kie, 5004 N. Sheridan Rd., Chicago, 60640, 美國"
"Sochi,1358 W. Belmont Ave., Chicago, 60657, 美國"
"Perilla,401 N. Milwaukee Ave., Chicago, 60654, 美國"
"Cira,200 N. Green St., Chicago, 60607, 美國"
"Lardon,2200 California Ave., Chicago, 60647, 美國"
"Boonie's,4337 N. Western Ave., Chicago, 60618, 美國"
"Union,2202 N. California Ave., Chicago, 60647, 美國"
"Dear Margaret,2965 N. Lincoln Ave., Chicago, 60657, 美國"
"Cellar Door Provisions,3025 W. Diversey Ave., Chicago, 60647, 美國"
"Gilt Bar,230 W. Kinzie St., Chicago, 60654, 美國"
"Birrieria Zaragoza,4852 S. Pulaski Rd., Chicago, 60632, 美國"
"Giant,3209 W. Armitage Ave., Chicago, 60647, 美國"
"Pompette,1960 N. Damen Ave., Chicago, 60647, 美國"
"Munno Pizzeria & Bistro,4656 N. Clark St., Chicago, 60640, 美國"
"Tortello Pastificio,1746 W. Division St., Chicago, 60622, 美國"
"Ciccio Mio,226 W. Kinzie St., Chicago, 60654, 美國"
"Ina Mae,1415 N. Wood St., Chicago, 60622, 美國"
"Apolonia,2201 S. Michigan Ave., Chicago, 60616, 美國"
"avec,615 W. Randolph St., Chicago, 60661, 美國"
"Longman & Eagle,2657 N. Kedzie Ave., Chicago, 60647, 美國"
"Frontera Grill,445 N. Clark St., Chicago, 60654, 美國"
"Pleasant House Pub,2119 S. Halstead St., Chicago, 60608, 美國"
"Chilam Balam,3023 N. Broadway, Chicago, 60657, 美國"
"Superkhana International,3059 W. Diversey Ave., Chicago, 60647, 美國"
"Sol de Mexico,3018 N. Cicero Ave., Chicago, 60641, 美國"
"Cabra,200 N. Green St., Chicago, 60607, 美國"
"The Purple Pig,444 N. Michigan Ave., Chicago, 60611, 美國"
"Mi Tocaya,2800 W. Logan Blvd., Chicago, 60647, 美國"
"Virtue,1462 E. 53rd St., Chicago, 60615, 美國"
"Table, Donkey and Stick,2728 W. Armitage Ave., Chicago, 60647, 美國"
"Daisies,2375 Milwaukee Ave., Chicago, 60647, 美國"
"The Duck Inn,2701 S. Eleanor St., Chicago, 60608, 美國"
"HaiSous,1800 S. Carpenter Ave., Chicago, 60608, 美國"
"The Busy Bee,810 Martin Luther King Jr. Dr. SW, Atlanta, 30314, 美國"
"mfk.,432 W. Diversey Pkwy., Chicago, 60614, 美國"
"Antico Pizza Napoletana,1093 Hemphill Ave. NW, Atlanta, 30318, 美國"
"Lula Cafe,2537 N. Kedzie Ave., Chicago, 60647, 美國"
"Heirloom Market BBQ,2243 Akers Mill Rd. SE, Atlanta, 30339, 美國"
"Fred's Meat & Bread,99 Krog St. NE, Atlanta, 30307, 美國"
"Little Bear, 71-A Georgia Ave. SE, Atlanta, 30312, 美國"
"Estrellita,580 Woodward Ave. SE, Atlanta, 30312, 美國"
"Arepa Mia,10 N. Clarendon Ave. SE, Ste. A, Avondale Estates, 30002, 美國"
"Fine Mess Smokehouse,5 Delfon Street, Athens, 10680, 希臘"
"Bomb Biscuit Co.,668 Highland Ave. NE, Atlanta, 30312, 美國"
"Fishmonger,674 N. Highland Ave. NE, Atlanta, 30306, 美國"
"Banshee,1271 Glenwood Ave. SE, Atlanta, 30316, 美國"
"Cerdo Negro 1985,5 Vitonos Street, Athens, 11854, 希臘"
"Oikeîo,15 Ploutarchou Street, Athens, 106 75, 希臘"
"Anyukám Mondta,Petőfi utca 57, Encs, 3860, 匈牙利"
"Jerár,55 Agias Varvaras Street, Athens, 172 35, 希臘"
"Morzsa,Király utca 42, Pécs, 7621, 匈牙利"
"Kistücsök, Bajcsy-Zsilinszky utca 25, Balatonszemes, 8636, 匈牙利"
"Nolan, 31-33 Voulis Street, Athens, 10557, 希臘"
"Casa Christa,Izabella utca 1, Balatonszőlős, 8233, 匈牙利"
"Specht,Bäckerstraße 12, Wien, 1010, 奧地利"
"人和園,中山區中山北路二段112號2樓, Taipei, 臺灣"
"Macok,Tinódi Sebestyén tér 4, Eger, 3300, 匈牙利"
"Sparhelt,Szent István tér 7, Balatonfüred, 8230, 匈牙利"
"Meierei im Stadtpark,Am Heumarkt 2a, Wien, 1030, 奧地利"
